Cod_TCAC,Food,Price_100g,Serving,Serving_g,Price_serving,Group,Subgroup,Energy,Protein,Carbohydrates,Lipids,Calcium,Zinc,Iron,Magnesium,Phosphorus,VitaminC,Thiamine,Riboflavin,Niacin,Folate,VitaminB12,VitaminA,Sodium
C060,Melón común  1  und,697.0,100,220.0,1533.3999999999999,Frutas y verduras,Frutas,25.0,0.7,5.0,0.0,11.0,0.1,0.4,7.0,17.0,0.0,0.04,0.02,0.6,21.0,0.0,68.0,7.0
C061,Mora  500  gr,912.0,100,74.32432432432432,677.8378378378378,Frutas y verduras,Frutas,74.0,1.0,14.6,0.1,42.0,0.5,1.7,20.0,10.0,18.0,0.22,0.05,0.9,25.0,0.0,0.0,1.0
C062,Naranja tangelo malla  1500  gr,660.0,100,134.14634146341464,885.3658536585366,Frutas y verduras,Frutas,41.0,0.7,8.8,0.3,33.0,0.5,1.3,213.0,20.0,27.0,0.35,0.16,0.2,30.0,0.0,2.0,2.0
C065,Papaya und  1  und,464.44,100,137.5,638.605,Frutas y verduras,Frutas,40.0,0.5,8.2,0.1,24.0,0.1,0.3,23.0,9.0,62.0,0.03,0.03,0.3,37.0,0.0,235.0,5.0
C071,Pera 1 und,1312.5,100,87.30158730158729,1145.8333333333333,Frutas y verduras,Frutas,63.0,0.3,12.9,0.2,8.0,0.1,0.4,5.0,9.0,2.0,0.07,0.04,0.2,7.0,0.0,0.0,1.0
C072,Piña 1 und,757.77,100,98.21428571428571,744.2383928571428,Frutas y verduras,Frutas,56.0,0.6,12.4,0.1,16.0,0.2,0.5,12.0,9.0,23.0,0.06,0.05,0.3,16.0,0.0,8.0,3.0
C079,Sandia 1 und,598.0,100,323.52941176470586,1934.7058823529412,Frutas y verduras,Frutas,17.0,0.4,3.7,0.0,4.0,0.1,0.3,10.0,5.0,7.0,0.02,0.01,0.1,3.0,0.0,30.0,1.0
C082,Tomate arbol frescampo 1000  gr,360.0,100,100.0,360.0,Frutas y verduras,Frutas,55.0,2.0,10.2,0.2,10.0,0.1,0.9,16.0,41.0,29.0,0.05,0.03,1.1,,0.0,112.0,0.0
C085,Uva red globe,1920.0,100,144.73684210526315,2778.9473684210525,Frutas y verduras,Frutas,38.0,0.5,8.6,0.0,6.0,0.1,0.4,20.0,20.0,5.0,0.03,0.01,0.1,9.0,0.0,7.0,2.0
C086,Uva isabella  500  gr,556.8,100,107.84313725490195,600.470588235294,Frutas y verduras,Frutas,51.0,0.4,12.1,0.0,8.0,0.1,0.4,4.0,10.0,14.0,0.03,0.01,0.1,27.0,0.0,7.0,9.0
D013,Aceite vegetal frescampo mezcla de aceites  (750  ml),897.33,100,4.888888888888889,43.86946666666667,Grasas,Grasas,900.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
